date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:35	5817/5817	---M-Z	200	added ('OK')	text/html	etag:W/%220dbfaac9fd2cf407faad1c29431e36a9%22	https://mypagetes.nicepage.io/	E:/New%20folder/main/mypagetes.nicepage.io/index.html	(from )
14:14:36	1714/1714	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22c7fe2bb1fd28a15983df7ebc01234eb2%22	https://mypagetes.nicepage.io/robots.txt		(from )
14:14:38	630239/630239	---MCZ	200	added ('OK')	text/css	etag:W/%22a93bd77f0af53ef45e1107012910e3f1%22	http://capp.nicepage.com/d05a0c2d4ca3edf75af06b45932e293777a06d36/nicepage.css	E:/New%20folder/main/capp.nicepage.com/d05a0c2d4ca3edf75af06b45932e293777a06d36/nicepage.css	(from https://mypagetes.nicepage.io/)
14:14:39	5089/5089	---M-Z	200	added ('OK')	text/css	etag:W/%22350fe2debd1320804ce96ca773f9370e%22	https://mypagetes.nicepage.io/Home.css	E:/New%20folder/main/mypagetes.nicepage.io/Home.css	(from https://mypagetes.nicepage.io/)
14:14:45	281478/281478	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22e16343313a30c0814c9c9fac9186e86f%22	http://capp.nicepage.com/d05a0c2d4ca3edf75af06b45932e293777a06d36/nicepage.js	E:/New%20folder/main/capp.nicepage.com/d05a0c2d4ca3edf75af06b45932e293777a06d36/nicepage.js	(from https://mypagetes.nicepage.io/)
14:14:46	751516/751516	---M-Z	200	added ('OK')	text/css	etag:W/%22717a1226b5a7c1fd2d8d06b79820dfd7%22	https://mypagetes.nicepage.io/nicepage-site.css	E:/New%20folder/main/mypagetes.nicepage.io/nicepage-site.css	(from https://mypagetes.nicepage.io/)
14:14:46	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	E:/New%20folder/main/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://mypagetes.nicepage.io/)
14:14:47	7954/7954	---M--	200	added ('OK')	image/png	etag:%22a9a24513621534957348e2ce7f52539e%22	https://assets.nicepagecdn.com/eab76521/3950613/images/logo.png	E:/New%20folder/main/assets.nicepagecdn.com/eab76521/3950613/images/logo.png	(from https://mypagetes.nicepage.io/)
14:14:47	5507/5507	---M--	200	added ('OK')	image/png	etag:%22407a72842d2c4b05d1e8dcca0745ab7b%22	https://assets.nicepagecdn.com/eab76521/3950613/images/About-Property-Sales-Logo.png	E:/New%20folder/main/assets.nicepagecdn.com/eab76521/3950613/images/About-Property-Sales-Logo.png	(from https://mypagetes.nicepage.io/)
14:14:50	47337/47337	---M--	200	added ('OK')	image/jpeg	etag:%22ae0d51b13b6ea4f6e1b83250f924f0a0%22	https://assets.nicepagecdn.com/eab76521/3950613/images/is-your-property-currently-vacant-1.jpg	E:/New%20folder/main/assets.nicepagecdn.com/eab76521/3950613/images/is-your-property-currently-vacant-1.jpg	(from https://mypagetes.nicepage.io/Home.css)
14:14:50	5452/5452	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22c7fe2bb1fd28a15983df7ebc01234eb2%22	https://mypagetes.nicepage.io/Content/BundledScripts/	E:/New%20folder/main/mypagetes.nicepage.io/Content/BundledScripts/index.html	(from http://capp.nicepage.com/d05a0c2d4ca3edf75af06b45932e293777a06d36/nicepage.js)
14:14:51	5452/5452	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22c7fe2bb1fd28a15983df7ebc01234eb2%22	https://mypagetes.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	E:/New%20folder/main/mypagetes.nicepage.io/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://capp.nicepage.com/d05a0c2d4ca3edf75af06b45932e293777a06d36/nicepage.js)
